Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	65.	50.	0.	
2	63.072	59.626	0.	
3	57.587	67.768	0.	
4	49.39	73.17	0.	
5	39.745	74.999	0.	
6	30.139	72.973	0.	
7	22.054	67.405	0.	
8	16.736	59.153	0.	
9	15.005	49.49	0.	
10	17.129	39.905	0.	
11	22.779	31.877	0.	
12	31.085	26.644	0.	
13	40.765	25.012	0.	
14	50.328	27.233	0.	
15	58.298	32.965	0.	
16	63.446	41.324	0.	
17	485.	50.	0.	
18	483.07	59.626	0.	
19	477.59	67.768	0.	
20	469.39	73.17	0.	
21	459.74	74.999	0.	
22	450.14	72.973	0.	
23	442.05	67.405	0.	
24	436.74	59.153	0.	
25	435.01	49.49	0.	
26	437.13	39.905	0.	
27	442.78	31.877	0.	
28	451.08	26.644	0.	
29	460.77	25.012	0.	
30	470.33	27.233	0.	
31	478.3	32.965	0.	
32	483.45	41.324	0.	
33	1.e-012	100.	0.	
34	0.	0.	0.	
35	6.9944e-013	90.	0.	
36	6.2172e-013	80.	0.	
37	5.4401e-013	70.	0.	
38	4.6629e-013	60.	0.	
39	3.8858e-013	50.	0.	
40	3.1086e-013	40.	0.	
41	2.3315e-013	30.	0.	
42	1.5543e-013	20.	0.	
43	7.7716e-014	10.	0.	
44	500.	0.	0.	
45	10.	0.	0.	
46	20.	0.	0.	
47	30.	0.	0.	
48	40.	0.	0.	
49	50.	0.	0.	
50	60.	0.	0.	
51	70.	0.	0.	
52	80.	0.	0.	
53	90.	0.	0.	
54	100.	0.	0.	
55	110.	0.	0.	
56	120.	0.	0.	
57	130.	0.	0.	
58	140.	0.	0.	
59	150.	0.	0.	
60	160.	0.	0.	
61	170.	0.	0.	
62	180.	0.	0.	
63	190.	0.	0.	
64	200.	0.	0.	
65	210.	0.	0.	
66	220.	0.	0.	
67	230.	0.	0.	
68	240.	0.	0.	
69	250.	0.	0.	
70	260.	0.	0.	
71	270.	0.	0.	
72	280.	0.	0.	
73	290.	0.	0.	
74	300.	0.	0.	
75	310.	0.	0.	
76	320.	0.	0.	
77	330.	0.	0.	
78	340.	0.	0.	
79	350.	0.	0.	
80	360.	0.	0.	
81	370.	0.	0.	
82	380.	0.	0.	
83	390.	0.	0.	
84	400.	0.	0.	
85	410.	0.	0.	
86	420.	0.	0.	
87	430.	0.	0.	
88	440.	0.	0.	
89	450.	0.	0.	
90	460.	0.	0.	
91	470.	0.	0.	
92	480.	0.	0.	
93	490.	0.	0.	
94	500.	100.	0.	
95	500.	10.	0.	
96	500.	20.	0.	
97	500.	30.	0.	
98	500.	40.	0.	
99	500.	50.	0.	
100	500.	60.	0.	
101	500.	70.	0.	
102	500.	80.	0.	
103	500.	90.	0.	
104	490.	100.	0.	
105	480.	100.	0.	
106	470.	100.	0.	
107	460.	100.	0.	
108	450.	100.	0.	
109	440.	100.	0.	
110	430.	100.	0.	
111	420.	100.	0.	
112	410.	100.	0.	
113	400.	100.	0.	
114	390.	100.	0.	
115	380.	100.	0.	
116	370.	100.	0.	
117	360.	100.	0.	
118	350.	100.	0.	
119	340.	100.	0.	
120	330.	100.	0.	
121	320.	100.	0.	
122	310.	100.	0.	
123	300.	100.	0.	
124	290.	100.	0.	
125	280.	100.	0.	
126	270.	100.	0.	
127	260.	100.	0.	
128	250.	100.	0.	
129	240.	100.	0.	
130	230.	100.	0.	
131	220.	100.	0.	
132	210.	100.	0.	
133	200.	100.	0.	
134	190.	100.	0.	
135	180.	100.	0.	
136	170.	100.	0.	
137	160.	100.	0.	
138	150.	100.	0.	
139	140.	100.	0.	
140	130.	100.	0.	
141	120.	100.	0.	
142	110.	100.	0.	
143	100.	100.	0.	
144	90.	100.	0.	
145	80.	100.	0.	
146	70.	100.	0.	
147	60.	100.	0.	
148	50.	100.	0.	
149	40.	100.	0.	
150	30.	100.	0.	
151	20.	100.	0.	
152	10.	100.	0.	
153	250.	50.	0.	
154	260.	49.999	0.	
155	240.	50.001	0.	
156	270.	49.999	0.	
157	230.	50.002	0.	
158	280.	49.998	0.	
159	220.	50.003	0.	
160	290.	49.997	0.	
161	210.	50.005	0.	
162	300.	49.995	0.	
163	200.	50.008	0.	
164	310.	49.991	0.	
165	190.01	50.014	0.	
166	319.99	49.985	0.	
167	180.01	50.024	0.	
168	329.99	49.975	0.	
169	170.02	50.041	0.	
170	339.98	49.958	0.	
171	160.05	50.067	0.	
172	349.95	49.932	0.	
173	150.09	50.108	0.	
174	359.91	49.894	0.	
175	140.09	50.085	0.	
176	369.83	49.838	0.	
177	130.2	50.161	0.	
178	379.77	49.851	0.	
179	120.37	50.239	0.	
180	389.57	49.801	0.	
181	110.67	50.298	0.	
182	399.41	49.768	0.	
183	100.9	50.319	0.	
184	409.05	49.682	0.	
185	409.3	39.635	0.	
186	91.074	60.271	0.	
187	91.202	50.295	0.	
188	418.62	49.609	0.	
189	418.93	39.638	0.	
190	81.427	60.201	0.	
191	100.74	60.287	0.	
192	110.49	60.271	0.	
193	120.29	60.203	0.	
194	130.11	60.153	0.	
195	140.05	60.1	0.	
196	150.	60.	0.	
197	160.	60.	0.	
198	170.	60.	0.	
199	180.	60.	0.	
200	190.	60.	0.	
201	200.	60.	0.	
202	210.	60.	0.	
203	220.	60.	0.	
204	230.	60.	0.	
205	240.	60.	0.	
206	250.	60.	0.	
207	260.	60.	0.	
208	270.	60.	0.	
209	280.	60.	0.	
210	290.	59.999	0.	
211	300.	59.999	0.	
212	310.	59.997	0.	
213	320.	59.995	0.	
214	330.	59.991	0.	
215	340.	59.984	0.	
216	350.	59.971	0.	
217	359.99	59.949	0.	
218	369.98	59.912	0.	
219	379.83	59.877	0.	
220	389.66	59.815	0.	
221	399.41	59.763	0.	
222	409.21	59.775	0.	
223	418.8	59.677	0.	
224	90.563	70.187	0.	
225	399.55	39.79	0.	
226	389.78	39.79	0.	
227	379.88	39.855	0.	
228	369.94	39.903	0.	
229	360.	40.	0.	
230	350.	40.	0.	
231	340.	40.	0.	
232	330.	40.	0.	
233	320.	40.	0.	
234	310.	40.	0.	
235	300.	40.	0.	
236	290.	40.	0.	
237	280.	40.	0.	
238	270.	40.	0.	
239	260.	40.	0.	
240	250.	40.	0.	
241	240.	40.	0.	
242	230.	40.	0.	
243	220.	40.001	0.	
244	210.	40.001	0.	
245	200.	40.002	0.	
246	180.	40.008	0.	
247	170.	40.015	0.	
248	160.01	40.026	0.	
249	150.01	40.047	0.	
250	140.03	40.083	0.	
251	130.06	40.142	0.	
252	120.31	40.216	0.	
253	110.5	40.204	0.	
254	100.8	40.278	0.	
255	91.108	40.348	0.	
256	409.76	29.795	0.	
257	81.654	50.336	0.	
258	399.87	29.9	0.	
259	389.89	29.883	0.	
260	379.93	29.916	0.	
261	370.	30.	0.	
262	360.	30.	0.	
263	350.	30.	0.	
264	340.	30.	0.	
265	330.	30.	0.	
266	320.	30.	0.	
267	310.	30.	0.	
268	300.	30.	0.	
269	290.	30.	0.	
270	280.	30.	0.	
271	270.	30.	0.	
272	260.	30.	0.	
273	250.	30.	0.	
274	240.	30.	0.	
275	230.	30.	0.	
276	220.	30.	0.	
277	210.	30.	0.	
278	200.	30.	0.	
279	190.	30.001	0.	
280	180.	30.001	0.	
281	170.	30.003	0.	
282	160.	30.006	0.	
283	150.	30.011	0.	
284	140.	30.023	0.	
285	130.	30.045	0.	
286	120.11	30.093	0.	
287	110.28	30.152	0.	
288	100.41	30.199	0.	
289	90.59	30.354	0.	
290	100.38	70.242	0.	
291	110.23	70.202	0.	
292	120.06	70.127	0.	
293	130.05	70.087	0.	
294	140.	70.	0.	
295	150.	70.	0.	
296	160.	70.	0.	
297	170.	70.	0.	
298	180.	70.	0.	
299	190.	70.	0.	
300	200.	70.	0.	
301	210.	70.	0.	
302	220.	70.	0.	
303	230.	70.	0.	
304	240.	70.	0.	
305	250.	70.	0.	
306	260.	70.	0.	
307	270.	70.	0.	
